GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G13008900234212,Georgia,DeKalb County,23421,2,1091,0,0,1091,95054,1,0,-84.24916405,33.676066
G13008900234213,Georgia,DeKalb County,23421,3,4219,1,0.000237023,4218,44355,1,1,-84.26492622,33.6796072
G13008900234221,Georgia,DeKalb County,23422,1,1946,10,0.005138746,1936,73711,1,0,-84.26316164,33.65711771
G13008900234222,Georgia,DeKalb County,23422,2,4278,117,0.027349229,4161,62992,1,0,-84.26963377,33.6664076
G13008900234231,Georgia,DeKalb County,23423,1,2415,81,0.033540373,2334,73893,1,0,-84.30650773,33.65274301
G13008900234232,Georgia,DeKalb County,23423,2,2685,8,0.002979516,2677,78973,1,0,-84.29030295,33.69012407
G13008900234233,Georgia,DeKalb County,23423,3,2415,90,0.037267081,2325,84211,1,0,-84.32885739,33.66723888
G13008900234241,Georgia,DeKalb County,23424,1,3645,76,0.02085048,3569,75469,1,0,-84.29321191,33.66758873
G13008900234242,Georgia,DeKalb County,23424,2,1888,57,0.030190678,1831,55778,1,1,-84.29021353,33.67928609
G13008900234251,Georgia,DeKalb County,23425,1,2775,63,0.022702703,2712,70515,1,0,-84.2206716,33.67179365
G13008900234252,Georgia,DeKalb County,23425,2,3282,115,0.03503961,3167,76111,1,0,-84.23619556,33.67455897
G13008900234261,Georgia,DeKalb County,23426,1,3222,28,0.008690255,3194,85260,1,0,-84.20031399,33.66647228
G13008900234262,Georgia,DeKalb County,23426,2,1471,17,0.011556764,1454,60977,1,1,-84.20931475,33.67779258
G13008900234271,Georgia,DeKalb County,23427,1,2177,8,0.003674782,2169,62283,1,1,-84.16269335,33.68123359
G13008900234272,Georgia,DeKalb County,23427,2,612,87,0.142156863,525,63854,1,0,-84.1475787,33.68202015
G13008900234281,Georgia,DeKalb County,23428,1,724,0,0,724,41607,1,1,-84.14855745,33.69974444
G13008900234282,Georgia,DeKalb County,23428,2,2910,95,0.032646048,2815,46351,1,1,-84.13799255,33.69499341
G13008900234283,Georgia,DeKalb County,23428,3,4751,48,0.010103136,4703,33787,1,1,-84.15652909,33.69607192
G13008900234284,Georgia,DeKalb County,23428,4,1766,1,0.000566251,1765,47845,1,1,-84.16867834,33.69541691
G13008900235011,Georgia,DeKalb County,23501,1,1113,55,0.049415993,1058,32000,1,1,-84.26004428,33.73491123
G13008900235012,Georgia,DeKalb County,23501,2,2248,101,0.044928826,2147,31250,1,1,-84.27702469,33.73517967
G13008900235041,Georgia,DeKalb County,23504,1,1038,93,0.089595376,945,37581,1,1,-84.27322325,33.72930361
G13008900235042,Georgia,DeKalb County,23504,2,952,71,0.074579832,881,34993,1,1,-84.27274926,33.7238471
G13008900235043,Georgia,DeKalb County,23504,3,1248,60,0.048076923,1188,32405,1,1,-84.26983289,33.71785655
G13008900235051,Georgia,DeKalb County,23505,1,1471,76,0.051665534,1395,37361,1,1,-84.25599899,33.72612668
G13008900235052,Georgia,DeKalb County,23505,2,2153,99,0.04598235,2054,45625,1,1,-84.261326,33.7221648
G13008900235061,Georgia,DeKalb County,23506,1,1976,124,0.062753036,1852,31827,1,1,-84.23287085,33.73113749
G13008900235062,Georgia,DeKalb County,23506,2,2392,161,0.067307692,2231,70110,1,0,-84.24564939,33.73171367
G13008900235063,Georgia,DeKalb County,23506,3,2097,104,0.049594659,1993,59297,1,1,-84.24128854,33.72071319
G13008900235071,Georgia,DeKalb County,23507,1,1453,0,0,1453,40448,1,1,-84.22075029,33.73303327
G13008900235072,Georgia,DeKalb County,23507,2,1378,15,0.010885341,1363,47139,1,1,-84.22147083,33.72698352
G13008900235073,Georgia,DeKalb County,23507,3,1437,7,0.00487126,1430,52841,1,1,-84.22305814,33.71839351
G13008900236011,Georgia,DeKalb County,23601,1,1416,606,0.427966102,810,93516,1,0,-84.30613727,33.73526547
G13008900236012,Georgia,DeKalb County,23601,2,972,243,0.25,729,60756,1,1,-84.29655029,33.73620455
G13008900236013,Georgia,DeKalb County,23601,3,800,191,0.23875,609,84531,1,0,-84.29113541,33.73381636
G13008900236021,Georgia,DeKalb County,23602,1,1133,65,0.057369815,1068,44063,1,1,-84.29399146,33.72859862
G13008900236022,Georgia,DeKalb County,23602,2,1166,135,0.115780446,1031,42177,1,1,-84.30265366,33.7221323
G13008900236031,Georgia,DeKalb County,23603,1,1788,195,0.109060403,1593,41117,1,1,-84.2876485,33.72383306
G13008900236032,Georgia,DeKalb County,23603,2,1862,137,0.073576799,1725,36076,1,1,-84.28375528,33.71699417
G13008900237001,Georgia,DeKalb County,23700,1,2469,163,0.066018631,2306,27354,1,1,-84.31438693,33.72175885
G13008900237002,Georgia,DeKalb County,23700,2,1185,411,0.346835443,774,48378,1,1,-84.32187678,33.73461576
G13008900237003,Georgia,DeKalb County,23700,3,1088,120,0.110294118,968,44249.33333,1,1,-84.31330633,33.73042458
G13008900237004,Georgia,DeKalb County,23700,4,1312,171,0.130335366,1141,57016,1,1,-84.32153421,33.74375434
G13008900238011,Georgia,DeKalb County,23801,1,856,240,0.280373832,616,71481,1,0,-84.34481441,33.72880354
G13008900238012,Georgia,DeKalb County,23801,2,1808,614,0.33960177,1194,73333,1,0,-84.33723099,33.71226048
G13008900238013,Georgia,DeKalb County,23801,3,1461,490,0.335386721,971,128047,1,0,-84.33850527,33.72369005
G13008900238021,Georgia,DeKalb County,23802,1,1581,221,0.139784946,1360,62961,1,0,-84.32567175,33.70989599
G13008900238022,Georgia,DeKalb County,23802,2,2952,831,0.281504065,2121,33846,1,1,-84.33403251,33.69371318
G13008900238031,Georgia,DeKalb County,23803,1,1058,179,0.169187146,879,45000,1,1,-84.30509422,33.70653792
