,GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,new_YEAR,new_STATE,new_COUNTY,new_COUN_1,new_TRACT,new_BLKGRP,new_GEOID,new_TOTAL_,new_WHITE_,new_PERCEN,GISJOIN_2,STATEFP_2,COUNTYFP_2,TRACTCE_2,BLKGRPCE_2,GEOID_2,NAMELSAD_2,MTFCC_2,FUNCSTAT_2,ALAND_2,AWATER_2,INTPTLAT_2,INTPTLON_2,Shape_Le_1,Shape_Ar_1,CSV_STATE,CSV_COUNTY,CSV_TRACT,CSV_BLKGRP,CSV_TOTAL_,CSV_WHITE_,CSV_PERCEN,CSV_INCOME,geometry
0,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,2015-2019,Maryland,Baltimore city,510,10100,1,15000US245100101001,1185,1115,0.940928270042194,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10100,1,1185,1115,0.94092827,145288.0,"POLYGON ((-76.57133899971164 39.28340699911988, -76.57126100045032 39.28238199955359, -76.57199200080206 39.28235999908493, -76.57269200062076 39.28233899966734, -76.57341600075323 39.28230699886462, -76.57413399986648 39.28227799904405, -76.57485500083409 39.2822559986373, -76.57558099975337 39.28222299938436, -76.57626399939198 39.28219199857744, -76.57698000017662 39.28217499926257, -76.57704300103508 39.28320999881355, -76.5770650000362 39.28369100002705, -76.57708999989659 39.28420699890427, -76.57639100011029 39.28423099942956, -76.57568300022004 39.28426099895962, -76.57499000020522 39.28429199891547, -76.57426900031793 39.28431699867416, -76.57355999981826 39.28434299926298, -76.57282099998397 39.28436399881985, -76.57212199959535 39.28439699875139, -76.57139600003281 39.28442299870775, -76.57133899971164 39.28340699911988))"
1,G24051000101002,24,510,010100,2,245100101002,Block Group 2,G5030,S,109263.0,0.0,+39.2812810,-076.5740007,1470.45448723,109261.66649,2015-2019,Maryland,Baltimore city,510,10100,2,15000US245100101002,761,613,0.805519053876478,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10100,2,761,613,0.805519054,109792.0,"POLYGON ((-76.57115100046173 39.28036599880395, -76.57186300012459 39.28033599982107, -76.5725930003251 39.28030799911834, -76.57258399952281 39.28014899853246, -76.57325600004044 39.28012699861374, -76.57400299922725 39.28008699877225, -76.57401799975705 39.28040699917408, -76.57471500066494 39.28037399951094, -76.57543500000079 39.28033699846794, -76.57613900051939 39.28030399865236, -76.57686399982947 39.28027999849189, -76.57690999978635 39.28115199928615, -76.57698000017662 39.28217499926257, -76.57626399939198 39.28219199857744, -76.57558099975337 39.28222299938436, -76.57485500083409 39.2822559986373, -76.57413399986648 39.28227799904405, -76.57341600075323 39.28230699886462, -76.57269200062076 39.28233899966734, -76.57199200080206 39.28235999908493, -76.57126100045032 39.28238199955359, -76.57121399958903 39.28137499837266, -76.57115100046173 39.28036599880395))"
2,G24051000101003,24,510,010100,3,245100101003,Block Group 3,G5030,S,172430.0,148387.0,+39.2771827,-076.5737736,1867.98110271,172430.699452,2015-2019,Maryland,Baltimore city,510,10100,3,15000US245100101003,1089,886,0.813590449954086,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10100,3,1089,886,0.81359045,104375.0,"POLYGON ((-76.57100800051235 39.27833699884392, -76.57093100058735 39.27732199896429, -76.57091400000215 39.2772179983974, -76.57088699942729 39.27690599853153, -76.57087700085924 39.2764209986052, -76.57093100032958 39.27638899887682, -76.57097800014498 39.27634499853004, -76.57099099965085 39.27637999871955, -76.57100699956186 39.27640899908224, -76.57104499970639 39.2764449993355, -76.57114700064452 39.27651499873824, -76.57123900047837 39.27655799876713, -76.57251400053052 39.27668799957287, -76.57254300016426 39.27669699889727, -76.57256500028558 39.27670599952202, -76.57257899988518 39.27671399846857, -76.57259300063353 39.27672699931216, -76.57260100001699 39.27674999870218, -76.57260099956457 39.27679299845667, -76.57273000058633 39.27681899962112, -76.57281100038166 39.2767069991285, -76.57283000100796 39.27669799893091, -76.57285999970256 39.27668899906992, -76.57288299976418 39.27668699887583, -76.57292199980087 39.27669199897058, -76.57561499989036 39.27721299937427, -76.57531799958961 39.2780949988441, -76.57532100066138 39.27821599860373, -76.57602799997397 39.278375999145, -76.57638899987059 39.27845599879276, -76.57673999936739 39.27853399908768, -76.57677999983038 39.27915699894253, -76.57684399977023 39.27999099887628, -76.57686399982947 39.28027999849189, -76.57613900051939 39.28030399865236, -76.57543500000079 39.28033699846794, -76.57471500066494 39.28037399951094, -76.57401799975705 39.28040699917408, -76.57400299922725 39.28008699877225, -76.57325600004044 39.28012699861374, -76.57258399952281 39.28014899853246, -76.5725930003251 39.28030799911834, -76.57186300012459 39.28033599982107, -76.57115100046173 39.28036599880395, -76.57109300032045 39.27935099915643, -76.5710420002619 39.27873799889598, -76.57100800051235 39.27833699884392))"
3,G24051000102001,24,510,010200,1,245100102001,Block Group 1,G5030,S,68870.0,0.0,+39.2905859,-076.5727600,1245.9961201,68871.1115579,2015-2019,Maryland,Baltimore city,510,10200,1,15000US245100102001,835,690,0.826347305389222,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10200,1,835,690,0.826347305,97222.0,"POLYGON ((-76.57183899917123 39.29124299883721, -76.57177300031456 39.29010599982147, -76.57166900031609 39.28847099872353, -76.57238100071449 39.28845499897832, -76.57309399949862 39.28843199900212, -76.573182000185 39.29007299915468, -76.5739160004736 39.29003999895837, -76.5739790000648 39.29117999829176, -76.57407600076908 39.29231199904422, -76.5733530001291 39.29233499871759, -76.57263200031227 39.29236599951684, -76.57238000007752 39.2923809991826, -76.57195399930492 39.29239599920525, -76.57183899917123 39.29124299883721))"
4,G24051000102002,24,510,010200,2,245100102002,Block Group 2,G5030,S,55855.0,0.0,+39.2864204,-076.5722519,1154.67324451,55853.8557623,2015-2019,Maryland,Baltimore city,510,10200,2,15000US245100102002,542,486,0.896678966789668,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10200,2,542,486,0.896678967,101620.0,"POLYGON ((-76.57160699938328 39.28747699859905, -76.57156499924163 39.28690099897442, -76.57153300005737 39.28645499923759, -76.57146899969588 39.28545599913232, -76.57139600003281 39.28442299870775, -76.57212199959535 39.28439699875139, -76.57282099998397 39.28436399881985, -76.57290800062435 39.28539699896058, -76.57298299973819 39.28639999931876, -76.57302699984488 39.28742999915787, -76.5730760004719 39.28816799948271, -76.57309399949862 39.28843199900212, -76.57238100071449 39.28845499897832, -76.57166900031609 39.28847099872353, -76.57160699938328 39.28747699859905))"
5,G24051000102003,24,510,010200,3,245100102003,Block Group 3,G5030,S,83356.0,0.0,+39.2853068,-076.5750361,1186.77479671,83356.1112717,2015-2019,Maryland,Baltimore city,510,10200,3,15000US245100102003,1053,885,0.84045584045584,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10200,3,1053,885,0.84045584,131625.0,"POLYGON ((-76.57282099998397 39.28436399881985, -76.57355999981826 39.28434299926298, -76.57426900031793 39.28431699867416, -76.57499000020522 39.28429199891547, -76.57568300022004 39.28426099895962, -76.57639100011029 39.28423099942956, -76.57708999989659 39.28420699890427, -76.57716399959008 39.28522099924044, -76.57724199945747 39.28624199931439, -76.57651400023394 39.28627499904901, -76.57581400018464 39.28629999959052, -76.57512499982523 39.28632899853093, -76.57442099967543 39.28634999849502, -76.5737140000671 39.28637799971183, -76.57298299973819 39.28639999931876, -76.57290800062435 39.28539699896058, -76.57282099998397 39.28436399881985))"
6,G24051000102004,24,510,010200,4,245100102004,Block Group 4,G5030,S,147084.0,0.0,+39.2891209,-076.5746817,1817.18335415,147084.142912,2015-2019,Maryland,Baltimore city,510,10200,4,15000US245100102004,428,389,0.908878504672897,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10200,4,428,389,0.908878505,111094.0,"POLYGON ((-76.57309399949862 39.28843199900212, -76.5730760004719 39.28816799948271, -76.57302699984488 39.28742999915787, -76.57298299973819 39.28639999931876, -76.5737140000671 39.28637799971183, -76.57442099967543 39.28634999849502, -76.57512499982523 39.28632899853093, -76.57581400018464 39.28629999959052, -76.57582800068712 39.286460998433, -76.57583699985429 39.28655799893288, -76.57585500003694 39.28691899885926, -76.5758939998647 39.28750299905053, -76.57597399975681 39.28872499831672, -76.576051000078 39.28979499995071, -76.57606100004296 39.28992999980424, -76.57613500028212 39.29111099870975, -76.57617400044414 39.29223199918633, -76.57550800017076 39.29225699926386, -76.57479800084505 39.29228299887811, -76.57407600076908 39.29231199904422, -76.5739790000648 39.29117999829176, -76.5739160004736 39.29003999895837, -76.573182000185 39.29007299915468, -76.57309399949862 39.28843199900212))"
7,G24051000103001,24,510,010300,1,245100103001,Block Group 1,G5030,S,557928.0,10498.0,+39.2875095,-076.5787256,3474.02872876,568423.515595,2015-2019,Maryland,Baltimore city,510,10300,1,15000US245100103001,806,675,0.837468982630273,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10300,1,806,675,0.837468983,137356.0,"POLYGON ((-76.57581400018464 39.28629999959052, -76.57651400023394 39.28627499904901, -76.57724199945747 39.28624199931439, -76.57716399959008 39.28522099924044, -76.57708999989659 39.28420699890427, -76.5770650000362 39.28369100002705, -76.57704300103508 39.28320999881355, -76.57776199998088 39.28317599931979, -76.57846699999578 39.28314699911473, -76.5791379995463 39.28311899888628, -76.57985299986497 39.28308499987883, -76.57991699984234 39.2840799996461, -76.57998800066031 39.2851159986388, -76.58005900006103 39.28613299852426, -76.58078400089452 39.28609299868327, -76.58147099919121 39.28606799927199, -76.58221599930502 39.28603399827347, -76.58292400016839 39.28601099944589, -76.58364799950958 39.28596599939583, -76.58433199985789 39.2859559986125, -76.58439500070983 39.28695899958591, -76.58447999952557 39.28799299896848, -76.58457199953443 39.28959899954079, -76.58463899975513 39.29073899848965, -76.58468300051493 39.29136899905999, -76.58472200004255 39.29189099893066, -76.5839830003858 39.29192499912489, -76.5833249992628 39.29195599933161, -76.5825989999251 39.2919839986187, -76.58188599927382 39.29201199923887, -76.581137000011 39.29204799860457, -76.58044800042562 39.29206699933183, -76.57972700055804 39.29209899886163, -76.57908400043169 39.29212399917504, -76.57827499964824 39.29214999945034, -76.57762300005945 39.29217799865962, -76.57688699982337 39.29220599949749, -76.57617400044414 39.29223199918633, -76.57613500028212 39.29111099870975, -76.57606100004296 39.28992999980424, -76.576051000078 39.28979499995071, -76.57597399975681 39.28872499831672, -76.5758939998647 39.28750299905053, -76.57585500003694 39.28691899885926, -76.57583699985429 39.28655799893288, -76.57582800068712 39.286460998433, -76.57581400018464 39.28629999959052))"
8,G24051000103002,24,510,010300,2,245100103002,Block Group 2,G5030,S,115955.0,0.0,+39.2846106,-076.5819784,1338.11270415,115953.154709,2015-2019,Maryland,Baltimore city,510,10300,2,15000US245100103002,1574,1337,0.849428208386277,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10300,2,1574,1337,0.849428208,148438.0,"POLYGON ((-76.57985299986497 39.28308499987883, -76.58056600058752 39.28306099942196, -76.58127199968868 39.28303299904373, -76.58199400045076 39.28301199835465, -76.5823440002026 39.28299599894093, -76.58244100081156 39.28299599877402, -76.58249400036871 39.2830019991953, -76.582543999488 39.28301099898544, -76.58258700030021 39.28302199918887, -76.58264799964911 39.28304799899224, -76.58273600077585 39.28309899913908, -76.58320500077224 39.28342199919894, -76.5838949998506 39.2838439997035, -76.5840190000519 39.28391599863776, -76.58422200017212 39.28402999910244, -76.58426199996295 39.28494899956108, -76.58429999974412 39.28542199941494, -76.58430199921418 39.28546499978722, -76.58430700024239 39.28556599873586, -76.58430900029367 39.28560799869779, -76.58433199985789 39.2859559986125, -76.58364799950958 39.28596599939583, -76.58292400016839 39.28601099944589, -76.58221599930502 39.28603399827347, -76.58147099919121 39.28606799927199, -76.58078400089452 39.28609299868327, -76.58005900006103 39.28613299852426, -76.57998800066031 39.2851159986388, -76.57991699984234 39.2840799996461, -76.57985299986497 39.28308499987883))"
9,G24051000104001,24,510,010400,1,245100104001,Block Group 1,G5030,S,157478.0,0.0,+39.2814738,-076.5791713,1777.76684505,157477.831456,2015-2019,Maryland,Baltimore city,510,10400,1,15000US245100104001,797,586,0.73525721455458,G24051000101001,24,510,010100,1,245100101001,Block Group 1,G5030,S,111505.0,0.0,+39.2832967,-076.5741864,1433.61605081,111504.734741,Maryland,Baltimore city,10400,1,797,586,0.735257215,109766.0,"POLYGON ((-76.57698000017662 39.28217499926257, -76.57690999978635 39.28115199928615, -76.57686399982947 39.28027999849189, -76.57684399977023 39.27999099887628, -76.57677999983038 39.27915699894253, -76.57673999936739 39.27853399908768, -76.57729600001808 39.27879199891341, -76.5775890005025 39.27895499888432, -76.57787699993233 39.27911699879238, -76.57806300043863 39.2792259984803, -76.57862100077014 39.27955499984888, -76.57942999977105 39.28003799910837, -76.57967100012407 39.28016599887814, -76.57975699979664 39.28021199928217, -76.5799530001525 39.28033199950647, -76.58123300073036 39.28111499967339, -76.58143599988107 39.28124299890268, -76.58269899921669 39.28203399815727, -76.58272199994448 39.28271699845109, -76.58273600077585 39.28309899913908, -76.58264799964911 39.28304799899224, -76.58258700030021 39.28302199918887, -76.582543999488 39.28301099898544, -76.58249400036871 39.2830019991953, -76.58244100081156 39.28299599877402, -76.5823440002026 39.28299599894093, -76.58199400045076 39.28301199835465, -76.58127199968868 39.28303299904373, -76.58056600058752 39.28306099942196, -76.57985299986497 39.28308499987883, -76.5791379995463 39.28311899888628, -76.57846699999578 39.28314699911473, -76.57776199998088 39.28317599931979, -76.57704300103508 39.28320999881355, -76.57698000017662 39.28217499926257))"
