GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G13012100115061,Georgia,Fulton County,11506,1,1619,1497,0.924644842,122,146750,0,0,-84.39381563,34.07330053
G13012100115062,Georgia,Fulton County,11506,2,2491,2065,0.828984344,426,150764,0,0,-84.40219198,34.08449921
G13012100115063,Georgia,Fulton County,11506,3,1859,1579,0.849381388,280,173295,0,0,-84.410211,34.06721055
G13012100116101,Georgia,Fulton County,11610,1,3087,2626,0.850664075,461,125417,0,0,-84.31275431,34.08546578
G13012100116102,Georgia,Fulton County,11610,2,2831,1779,0.628399859,1052,99079,0,0,-84.31190574,34.07582932
G13012100116111,Georgia,Fulton County,11611,1,3648,1844,0.505482456,1804,73105,0,0,-84.29923254,34.04981969
G13012100116112,Georgia,Fulton County,11611,2,1204,831,0.690199336,373,57109,0,1,-84.31641598,34.07021143
G13012100116113,Georgia,Fulton County,11611,3,3855,1294,0.335667964,2561,57104,1,1,-84.31685252,34.05700325
G13012100116121,Georgia,Fulton County,11612,1,2653,1470,0.55408971,1183,155493,0,0,-84.20871438,34.00850304
G13012100116122,Georgia,Fulton County,11612,2,723,694,0.95988935,29,100833,0,0,-84.1903495,34.0014481
G13012100116131,Georgia,Fulton County,11613,1,3643,1668,0.457864397,1975,107070,1,0,-84.2122876,34.04079907
G13012100116132,Georgia,Fulton County,11613,2,3494,1653,0.473096737,1841,111563,1,0,-84.21979867,34.03057988
G13012100116141,Georgia,Fulton County,11614,1,4502,1922,0.426921368,2580,77993,1,0,-84.26073686,34.10424423
G13012100116142,Georgia,Fulton County,11614,2,4108,1885,0.458860759,2223,108363,1,0,-84.26501385,34.11469877
G13012100116143,Georgia,Fulton County,11614,3,6801,2048,0.301132186,4753,62928,1,1,-84.27329212,34.09095519
G13012100116151,Georgia,Fulton County,11615,1,4560,3703,0.812061404,857,211458,0,0,-84.30971214,34.10238143
G13012100116152,Georgia,Fulton County,11615,2,2414,1684,0.697597349,730,250001,0,0,-84.27983412,34.12609631
G13012100116153,Georgia,Fulton County,11615,3,3698,2092,0.565711195,1606,105595,0,0,-84.28269769,34.10456488
G13012100116161,Georgia,Fulton County,11616,1,2534,997,0.393449092,1537,103982,1,0,-84.27640466,34.07994918
G13012100116162,Georgia,Fulton County,11616,2,1381,512,0.370745836,869,107583,1,0,-84.28352519,34.06404523
G13012100116163,Georgia,Fulton County,11616,3,2457,1502,0.611314611,955,103750,0,0,-84.28204111,34.07249559
G13012100116171,Georgia,Fulton County,11617,1,2814,1692,0.601279318,1122,209896,0,0,-84.27331879,34.04678836
G13012100116172,Georgia,Fulton County,11617,2,2327,926,0.397937258,1401,54917,1,1,-84.23109368,34.04689882
G13012100116173,Georgia,Fulton County,11617,3,2750,2059,0.748727273,691,162917,0,0,-84.24567817,34.0436467
G13012100116181,Georgia,Fulton County,11618,1,4599,2463,0.535551207,2136,122857,0,0,-84.25978772,34.05618827
G13012100116191,Georgia,Fulton County,11619,1,2004,579,0.288922156,1425,80370,1,0,-84.25897395,34.07244793
G13012100116192,Georgia,Fulton County,11619,2,2276,1027,0.451230228,1249,82125,1,0,-84.24596471,34.06579487
G13012100116193,Georgia,Fulton County,11619,3,3589,1769,0.492894957,1820,134656,1,0,-84.23975594,34.06436254
G13012100116201,Georgia,Fulton County,11620,1,3177,1590,0.500472144,1587,145556,0,0,-84.20067792,34.08250256
G13012100116202,Georgia,Fulton County,11620,2,4585,2816,0.614176663,1769,164453,0,0,-84.22426746,34.07375306
G13012100116203,Georgia,Fulton County,11620,3,2444,1009,0.412847791,1435,79479,1,0,-84.22269156,34.0564468
G13012100116211,Georgia,Fulton County,11621,1,1262,508,0.402535658,754,78162,1,0,-84.24860848,34.0891592
