GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G24051002804015,Maryland,Baltimore city,280401,5,708,66,0.093220339,642,45463,1,1,-76.70806367,39.2971219
G24051002804021,Maryland,Baltimore city,280402,1,531,2,0.003766478,529,53125,1,0,-76.68874023,39.29543539
G24051002804022,Maryland,Baltimore city,280402,2,1101,0,0,1101,39250,1,1,-76.69093983,39.30054402
G24051002804031,Maryland,Baltimore city,280403,1,586,75,0.127986348,511,31141,1,1,-76.69449381,39.28322581
G24051002804032,Maryland,Baltimore city,280403,2,1271,185,0.145554681,1086,50017,1,0,-76.70130552,39.28435405
G24051002804033,Maryland,Baltimore city,280403,3,2496,656,0.262820513,1840,63858,1,0,-76.70893226,39.28313302
G24051002804034,Maryland,Baltimore city,280403,4,448,87,0.194196429,361,71063,1,0,-76.70730594,39.28957354
G24051002804035,Maryland,Baltimore city,280403,5,667,198,0.296851574,469,54019.75,1,0,-76.69994213,39.28945655
G24051002804041,Maryland,Baltimore city,280404,1,2107,87,0.041290935,2020,29609,1,1,-76.69017363,39.28499372
G24051002804042,Maryland,Baltimore city,280404,2,524,28,0.053435115,496,69231,1,0,-76.69335934,39.29065037
G24051002805001,Maryland,Baltimore city,280500,1,880,0,0,880,13114,1,1,-76.59718892,39.29577882
G24051002805002,Maryland,Baltimore city,280500,2,496,76,0.153225806,420,17644,1,1,-76.60687543,39.29444962
G24051002805003,Maryland,Baltimore city,280500,3,388,19,0.048969072,369,14198,1,1,-76.60255939,39.29632927
G24051002805004,Maryland,Baltimore city,280500,4,409,12,0.029339853,397,11836,1,1,-76.60125578,39.29381729
